collected_at,cpu_percent,cpu_cores_count,load_avg_1,load_avg_5,load_avg_15,memory_total,memory_used,memory_free,memory_percent,swap_used,swap_total,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
2026-06-20T07:52:59.473718,31.80,8,22.27,15.19,12.48,8589934592,3167944704,1376108544,84.00,11894980608,12884901888,2268217344,4678781952,45544152,139595032
2026-06-20T08:09:00.048915,23.10,8,12.09,13.58,12.06,8589934592,3136077824,1363460096,84.10,11880693760,12884901888,2268886016,4680466432,45546701,139597742
2026-06-20T08:25:00.551369,55.00,8,9.38,12.36,11.70,8589934592,3049586688,1269104640,85.20,11862605824,12884901888,2269753344,4694412288,45551362,139609231
2026-06-20T08:41:01.051345,37.10,8,7.83,11.43,11.40,8589934592,3113500672,1308835840,84.80,11873615872,12884901888,2270419968,4695612416,45553721,139611545
2026-06-20T09:12:01.513908,59.10,8,23.28,14.34,12.44,8589934592,3057614848,1263730688,85.30,11900813312,12884901888,2271504384,4700100608,45557659,139617082
2026-06-20T09:13:02.233019,36.00,8,14.54,13.88,12.42,8589934592,3067461632,1283489792,85.10,11874009088,12884901888,2272048128,4701507584,45559808,139619363
2026-06-20T09:44:02.630224,60.50,8,10.06,12.98,12.21,8589934592,3108978688,1289633792,85.00,11886329856,12884901888,2272998400,4706568192,45563673,139625240
2026-06-20T10:00:03.108267,54.90,8,15.39,13.30,12.35,8589934592,3146661888,1334706176,84.50,11929255936,12884901888,2273737728,4708291584,45566236,139627971
2026-06-20T10:16:03.774574,58.60,8,22.82,15.28,13.11,8589934592,3140763648,1326088192,84.60,11964055552,12884901888,2274765824,4714502144,45570808,139634362
2026-06-20T10:24:05.065679,93.40,8,9.53,12.84,12.35,8589934592,3295477760,1535918080,82.10,11888558080,12884901888,2275266560,4715600896,45572668,139636262
2026-06-20T10:55:05.676993,64.70,8,5.98,11.26,11.79,8589934592,3188686848,1411481600,83.60,11913134080,12884901888,2275913728,4716849152,45575027,139638640
